group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
A2_L1_0,COX5B,4.1707716,0.6953392,3.0357001205032436e-05,0.001517850060251622,0.4891566265060241,0.41075722759578903
A2_L1_0,NCL,4.1665244,0.52869415,3.092790467504656e-05,0.0015210444922154048,0.7012048192771084,0.6449527066745043
A2_L1_0,CALR,4.133469,0.6472125,3.57328131297717e-05,0.0017290070869244371,0.563855421686747,0.485838721744242
A2_L1_0,BMI1,4.0337486,1.2195675,5.489406004142913e-05,0.0025335720019121137,0.25783132530120484,0.15125848340725698
A2_L1_0,MRPS21,4.0283647,0.9722361,5.6166152559101674e-05,0.0025530069345046217,0.327710843373494,0.22992037620905253
A2_L1_0,MMRN1,4.0116124,1.8058565,6.0305430745832956e-05,0.0027002431677238636,0.1783132530120482,0.06484796665419762
A2_L1_0,DDX6,3.997142,0.6804599,6.411183485804435e-05,0.0028284633025607796,0.5228915662650603,0.4350985945599316
A2_L1_0,TAF1D,3.95491,0.83596236,7.656346131253185e-05,0.003328846144023124,0.38795180722891565,0.2984021803024635
A2_L1_0,GADD45GIP1,3.8579614,0.9336484,0.0001143366941950156,0.004831127923733054,0.3253012048192771,0.2343023566504569
A2_L1_0,HSP90AA1,3.8396254,0.54869914,0.00012322217918630155,0.005134257466095898,0.8,0.7250040079089403
A2_L1_0,RUFY1,3.83278,1.2704873,0.0001267033110627399,0.005206985386139996,0.24096385542168675,0.141185272270614
A2_L1_10,RNA18S,7.299636,1.2670417,2.885477393050614e-13,8.656432179151842e-10,1.0,0.999920658009574
A2_L1_10,RNA28S,6.8946376,1.4352577,5.4002208375483164e-12,8.100331256322474e-09,1.0,0.9996297373780116
A2_L1_10,SNORA109,2.8574574,1.7250447,0.00427050101691608,0.9999330943640848,0.8666666666666667,0.5777419269524742
A2_L1_10,RNA5-8S,2.742232,1.6403403,0.006102321532854971,0.9999330943640848,0.7666666666666667,0.5071275554732749
A2_L1_10,CDK6,2.6580222,1.8078836,0.007860070777855664,0.9999330943640848,0.7333333333333333,0.4198249186744598
