state_id,library,term,p_value,adj_p_value,overlap,overlap_genes
A0_L1_4,MSigDB_Hallmark_2020,E2F Targets,4.320037594581411e-17,4.3200375945814114e-16,14/200,"ATAD2,CKS1B,CKS2,DUT,HMGB2,MCM4,MKI67,PCNA,RAD51AP1,SMC4,STMN1,TMPO,TOP2A,TUBB"
A0_L1_4,MSigDB_Hallmark_2020,G2-M Checkpoint,1.7318806790888285e-15,8.659403395444143e-15,13/200,"CENPF,CKS1B,CKS2,HMGN2,KIF11,MKI67,NUSAP1,SMC2,SMC4,STMN1,TMPO,TOP2A,TPX2"
A0_L1_4,Reactome_2022,"Cell Cycle, Mitotic R-HSA-69278",3.3794826442387277e-10,3.3794826442387276e-09,13/523,"CENPF,CENPU,CKS1B,DHFR,MCM4,PCNA,PRIM1,SMC4,TMPO,TOP2A,TPX2,TUBA1B,TUBB"
A0_L1_9,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,6.863556833184719e-16,6.8635568331847195e-15,17/468,"AZU1,CTSG,ELANE,LYZ,MNDA,MPO,MS4A3,PLAC8,PRTN3,PYCARD,RNASE2,RNASE3,S100A8,S100A9,S100P,SERPINB10,TYROBP"
A0_L1_9,Reactome_2022,Innate Immune System R-HSA-168249,2.0562753185482185e-12,1.0281376592741093e-11,19/1035,"AZU1,CTSG,ELANE,FOS,HSP90B1,LYZ,MNDA,MPO,MS4A3,PLAC8,PRTN3,PYCARD,RNASE2,RNASE3,S100A8,S100A9,S100P,SERPINB10,TYROBP"
A0_L1_9,Reactome_2022,Immune System R-HSA-168256,3.6528631287076515e-11,1.2176210429025504e-10,23/1943,"AZU1,CALR,CTSG,ELANE,F13A1,FOS,HSP90B1,IRF8,LYZ,MNDA,MPO,MS4A3,PLAC8,PRTN3,PYCARD,RNASE2,RNASE3,S100A8,S100A9,S100P,SERPINB10,TNFSF13B,TYROBP"
A2_L1_12,Reactome_2022,Scavenging By Class F Receptors R-HSA-3000484,9.129305885391935e-05,0.0009129305885391935,2/6,"CALR,HSP90AA1"
A2_L1_12,MSigDB_Hallmark_2020,Androgen Response,0.00011357188843531715,0.0010221469959178543,4/100,"ABCC4,CDK6,HPGD,PDLIM5"
A2_L1_12,Reactome_2022,Signaling By Interleukins R-HSA-449147,0.00012569781836910032,0.0006284890918455016,7/453,"HMGB1,HSP90AA1,IL1RL1,IL5RA,PIK3CB,RAP1B,RPLP0"
A2_L1_9,Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183,1.221983260213879e-06,1.221983260213879e-05,3/9,"CALR,HSP90B1,HSPA5"
A2_L1_9,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,2.0822078677456008e-06,1.0411039338728004e-05,9/468,"AZU1,CTSG,ELANE,MPO,MS4A3,PRTN3,RNASE2,RNASE3,SYNGR1"
A2_L1_9,Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,2.391873586115355e-06,7.97291195371785e-06,3/11,"CALR,HSP90B1,HSPA5"
A3_L1_13,MSigDB_Hallmark_2020,heme Metabolism,1.035883274503028e-43,1.0358832745030281e-42,28/200,"AHSP,ALAS2,ANK1,BLVRB,CA1,CA2,CPOX,FECH,GYPA,GYPB,GYPC,GYPE,HBB,HBD,HMBS,MGST3,MINPP1,OSBP2,PRDX2,RHAG,SLC25A37,SLC4A1,SNCA,SPTA1,TFRC,TRIM10,UBAC1,UROD"
A3_L1_13,Reactome_2022,Erythrocytes Take Up Oxygen And Release Carbon Dioxide R-HSA-1247673,1.6631022805406758e-12,1.6631022805406757e-11,5/7,"CA1,CA2,HBA1,RHAG,SLC4A1"
A3_L1_13,KEGG_2021_Human,Malaria,3.6264711636168264e-11,2.5385298145317787e-10,7/50,"CD36,GYPA,GYPB,GYPC,HBA1,HBA2,HBB"
A3_L1_9,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,1.680714476753469e-08,1.680714476753469e-07,11/468,"AZU1,CTSG,ELANE,MNDA,MPO,MS4A3,PLAC8,PRTN3,RNASE2,RNASE3,SERPINB10"
A3_L1_9,Reactome_2022,Innate Immune System R-HSA-168249,6.764179333945373e-06,3.382089666972687e-05,12/1035,"AZU1,CTSG,ELANE,HSP90B1,MNDA,MPO,MS4A3,PLAC8,PRTN3,RNASE2,RNASE3,SERPINB10"
A3_L1_9,Reactome_2022,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,7.304033041262057e-06,2.4346776804206856e-05,5/108,"RPL22L1,RPLP0,RPS25,RPSA,SSR4"
A1_L1_2,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,1.1232394297580702e-18,1.1232394297580702e-17,19/468,"ANXA2,AZU1,CFP,CST3,CTSG,CTSS,CYBB,ELANE,FCN1,FGL2,IQGAP1,LGALS3,LYZ,MNDA,RNASE2,S100A8,S100A9,SERPINB10,TYROBP"
A1_L1_2,Reactome_2022,Innate Immune System R-HSA-168249,1.6981521761793807e-13,8.490760880896903e-13,20/1035,"ANXA2,AZU1,CFP,CST3,CTSG,CTSS,CYBB,ELANE,FCN1,FGL2,IQGAP1,JUN,LGALS3,LYZ,MNDA,RNASE2,S100A8,S100A9,SERPINB10,TYROBP"
A1_L1_2,Reactome_2022,Immune System R-HSA-168256,4.750564027943603e-13,1.583521342647868e-12,25/1943,"ANXA2,AZU1,CFP,CST3,CTSG,CTSS,CXCL8,CYBB,ELANE,F13A1,FCN1,FGL2,IFI30,IQGAP1,JUN,LGALS3,LYZ,MNDA,RNASE2,S100A8,S100A9,SERPINB10,TIMP1,TNFSF13B,TYROBP"
A0_L1_13,MSigDB_Hallmark_2020,heme Metabolism,4.320037594581411e-17,4.3200375945814114e-16,14/200,"AHSP,ALAS2,BLVRB,CA1,GYPA,GYPB,GYPC,HBB,HBD,PRDX2,RHAG,SLC25A37,SLC4A1,TFRC"
A0_L1_13,KEGG_2021_Human,Malaria,3.6264711636168264e-11,3.6264711636168265e-10,7/50,"CXCL8,GYPA,GYPB,GYPC,HBA1,HBA2,HBB"
A0_L1_13,Reactome_2022,Erythrocytes Take Up Oxygen And Release Carbon Dioxide R-HSA-1247673,1.2027728813908748e-09,1.2027728813908747e-08,4/7,"CA1,HBA1,RHAG,SLC4A1"
A2_L1_7,MSigDB_Hallmark_2020,heme Metabolism,6.248203367794541e-07,6.248203367794541e-06,7/200,"ANK1,BLVRB,CA1,GYPC,HBB,HBD,TFRC"
A2_L1_7,MSigDB_Hallmark_2020,E2F Targets,1.0220471700815356e-05,5.110235850407678e-05,6/200,"CKS2,DUT,PAICS,STMN1,TFRC,TUBB"
A2_L1_7,Reactome_2022,Cell Cycle R-HSA-1640170,3.0536100160180856e-05,0.00030536100160180856,9/654,"CDK6,CENPF,CENPU,HSP90AA1,NPM1,PRIM1,PRKAR2B,REXO2,TUBB"
